Shared Host,UK Control Count,UK LGBT Count
.amazon.co.uk,10,10
.aol.co.uk,2,1
.autotrader.co.uk,55,54
.bbc.co.uk,0,44
.bbc.co.uk,0,44
.bbc.co.uk,0,44
.cartoonnetwork.co.uk,20,20
.dailymail.co.uk,51,47
.dailymail.co.uk,51,47
.ebay.co.uk,84,65
.eventbrite.co.uk,25,28
.express.co.uk,25,17
.google.co.uk,3,3
.google.co.uk,3,3
.history.co.uk,29,27
.ico.org.uk,1,1
.just-eat.co.uk,8,8
.livedns.co.uk,12,12
.lse.ac.uk,41,37
.mastercard.co.uk,18,18
.telegraph.co.uk,120,116
.telegraph.co.uk,120,116
.tfl.gov.uk,32,25
.thetimes.co.uk,69,53
.tripadvisor.co.uk,36,42
.ucl.ac.uk,21,21
.uk.store.synology.com,17,17
.ukr.net,160,44
.www.bitrix24.uk,9,13
.www.bitrix24.uk,9,9
.www.huffingtonpost.co.uk,81,65
argos.co.uk,117,118
independent.co.uk,156,150
independent.co.uk,156,141
mg.adskeeper.co.uk,0,58
nationalarchives.gov.uk,2,2
standard.co.uk,144,138
www.amazon.co.uk,0,6
www.dailyrecord.co.uk,60,58
www.dailystar.co.uk,65,61
www.gettyimages.co.uk,44,40
www.gov.uk,0,1
www.gov.uk,0,1
www.gov.uk,0,1
www.just-eat.co.uk,8,8
www.kaspersky.co.uk,53,49
www.kaspersky.co.uk,53,49
www.liverpoolecho.co.uk,64,60
www.manchestereveningnews.co.uk,69,59
www.mirror.co.uk,79,76
www.next.co.uk,246,232
www.nhs.uk,1,1
www.ox.ac.uk,5,5
www.philips.co.uk,21,17
www.pinterest.co.uk,11,13
www.rightmove.co.uk,23,24
www.thesun.co.uk,105,93
www.wired.co.uk,30,28
